"Key","Name","Category","ProjectType","Lead","Url"
"MEDFW2","MediaFramework 2.0 ","应用和多媒体","software",,"http://tvjira.hisense.com/projects/MEDFW2"
"TVMW","Middleware_TVMW_CBB","产品项目","software",,"http://tvjira.hisense.com/projects/TVMW"
"MIRACASTCBB","Miracast_CBB","应用和多媒体","software",,"http://tvjira.hisense.com/projects/MIRACASTCBB"
"MIRACASTKEEPONWIF","Miracast不断网投屏","应用和多媒体","software",,"http://tvjira.hisense.com/projects/MIRACASTKEEPONWIF"
"MIRACASTHOUTAI","Miracast后台常驻方案预研","AI和画质算法","software",,"http://tvjira.hisense.com/projects/MIRACASTHOUTAI"
"MONITORA","MONITOR_A","其他","software",,"http://tvjira.hisense.com/projects/MONITORA"
"MPSXF","MPS终端应用","其他","software",,"http://tvjira.hisense.com/projects/MPSXF"
"MS3393","MS3393 ","其他","software",,"http://tvjira.hisense.com/projects/MS3393"
"MSD1601ROKU4KUSA","MSD1601Roku4K_USA","系统和OS平台","software",,"http://tvjira.hisense.com/projects/MSD1601ROKU4KUSA"
"MSD3393KR","MSD3393-KR","其他","software",,"http://tvjira.hisense.com/projects/MSD3393KR"
"MSD3393D36","MSD3393-US","其他","software",,"http://tvjira.hisense.com/projects/MSD3393D36"
"MSD3458EM","MSD3458-EM","其他","software",,"http://tvjira.hisense.com/projects/MSD3458EM"
"MSD3458US","MSD3458-US","其他","software",,"http://tvjira.hisense.com/projects/MSD3458US"
"MSD3463","MSD3463","其他","software",,"http://tvjira.hisense.com/projects/MSD3463"
"MSD3553ODM","MSD3553-ODM","产品项目","software",,"http://tvjira.hisense.com/projects/MSD3553ODM"
"MSD3553US","MSD3553-US","其他","software",,"http://tvjira.hisense.com/projects/MSD3553US"
"MSD3553HIUS","MSD3553_Hisense_US","其他","software",,"http://tvjira.hisense.com/projects/MSD3553HIUS"
"MSD3553BBYCVTE","MSD3553BBY-CVTE​","其他","software",,"http://tvjira.hisense.com/projects/MSD3553BBYCVTE"
"MSD3663EM","MSD3663-EM","其他","software",,"http://tvjira.hisense.com/projects/MSD3663EM"
"MSD3663EU","MSD3663-EU","其他","software",,"http://tvjira.hisense.com/projects/MSD3663EU"
"MSD3666","MSD3666","其他","software",,"http://tvjira.hisense.com/projects/MSD3666"
"MSD3666EU","MSD3666-EU","其他","software",,"http://tvjira.hisense.com/projects/MSD3666EU"
"MSD3686EM","MSD3686-EM","其他","software",,"http://tvjira.hisense.com/projects/MSD3686EM"
"MSD3686US","MSD3686-US","其他","software",,"http://tvjira.hisense.com/projects/MSD3686US"
"MSD6180YILIAO","MSD6180-医疗","其他","software",,"http://tvjira.hisense.com/projects/MSD6180YILIAO"
"MSD628VXK3500","MSD628VX-K3500","其他","software",,"http://tvjira.hisense.com/projects/MSD628VXK3500"
"MSD6306AU","MSD6306-AU","其他","software",,"http://tvjira.hisense.com/projects/MSD6306AU"
"MSD6306PUD","MSD6306PUD","其他","software",,"http://tvjira.hisense.com/projects/MSD6306PUD"
"MSD6306PUM","MSD6306PUM","其他","software",,"http://tvjira.hisense.com/projects/MSD6306PUM"
"MSD6308AM","MSD6308-AM","其他","software",,"http://tvjira.hisense.com/projects/MSD6308AM"
"MSD6308AU","MSD6308-AU","其他","software",,"http://tvjira.hisense.com/projects/MSD6308AU"
"MSD6308EU","MSD6308-EU","其他","software",,"http://tvjira.hisense.com/projects/MSD6308EU"
"MSD6383JP","MSD6383-JP","其他","software",,"http://tvjira.hisense.com/projects/MSD6383JP"
"MSD6486EM","MSD6486-EM","其他","software",,"http://tvjira.hisense.com/projects/MSD6486EM"
"MSD6586EM","MSD6586-EM","其他","software",,"http://tvjira.hisense.com/projects/MSD6586EM"
"MSD6586EU","MSD6586-EU","其他","software",,"http://tvjira.hisense.com/projects/MSD6586EU"
"MSD6586EUU25","MSD6586-EU_U2.5","其他","software",,"http://tvjira.hisense.com/projects/MSD6586EUU25"
"MSD6586SACVTE","MSD6586-SA_CVTE","其他","software",,"http://tvjira.hisense.com/projects/MSD6586SACVTE"
"MSD6586US","MSD6586-US","其他","software",,"http://tvjira.hisense.com/projects/MSD6586US"
"MSD6586USU25","MSD6586-US_U2.5","其他","software",,"http://tvjira.hisense.com/projects/MSD6586USU25"
"MSD668","MSD668","其他","software",,"http://tvjira.hisense.com/projects/MSD668"
"MSD668SXHS8U","MSD668-商显HS8U","其他","software",,"http://tvjira.hisense.com/projects/MSD668SXHS8U"
"MSD668WR30A","MSD668-商显WR30A","其他","software",,"http://tvjira.hisense.com/projects/MSD668WR30A"
"MSD6683EE","MSD6683-EE","其他","software",,"http://tvjira.hisense.com/projects/MSD6683EE"
